frame_number,timestamp,head_pitch,head_yaw,head_roll,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23
0,0.0,179.39,175.68,-173.36,0.5276,0.5141,0.5677,0.5451,0.1087,0.1178,0.0003,0.0002,0.073,0.000809,0.012509,0.000511,0.001081,0.012672,0.000778,0.003288,0.009298,0.000657,0.001158,0.009893,0.00076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,179.73,174.56,-174.08,0.5336,0.5187,0.5671,0.5453,0.1265,0.1239,0.0004,0.0003,0.0694,0.000845,0.012722,0.0005,0.001103,0.012784,0.000801,0.003184,0.009589,0.000659,0.001089,0.010067,0.000789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2,178.8,177.19,-174.47,0.5424,0.531,0.5798,0.5587,0.1086,0.1174,0.0008,0.0006,0.071,0.000832,0.012732,0.000508,0.001106,0.012715,0.000842,0.003238,0.009484,0.000667,0.001082,0.010122,0.000808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3,178.23,172.6,-175.73,0.5597,0.5466,0.5901,0.5704,0.1317,0.1184,0.0007,0.0005,0.0691,0.0009,0.013284,0.000454,0.001197,0.013002,0.000761,0.003187,0.00991,0.000651,0.000994,0.010516,0.000848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,173.6,169.54,-177.28,0.5794,0.5652,0.6025,0.585,0.1245,0.1213,0.0002,0.0001,0.0685,0.00101,0.013575,0.000523,0.001329,0.01317,0.000915,0.003225,0.01046,0.000705,0.000976,0.010813,0.000974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5,172.65,167.77,-177.7,0.6,0.586,0.6158,0.5985,0.1338,0.1204,0.0004,0.0003,0.0681,0.001135,0.013938,0.000563,0.001439,0.0137,0.000983,0.00326,0.010887,0.000757,0.000912,0.011117,0.001077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6,170.81,162.47,-178.62,0.6239,0.6079,0.6328,0.6182,0.141,0.1256,0.0001,0.0001,0.0624,0.00121,0.014079,0.000601,0.001548,0.013875,0.001011,0.003125,0.011347,0.000784,0.000844,0.011313,0.001154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7,170.39,163.0,-178.1,0.652,0.6359,0.6593,0.6425,0.1448,0.1212,0.0004,0.0003,0.0633,0.001266,0.014087,0.000525,0.001588,0.013993,0.000885,0.00322,0.011315,0.000752,0.000837,0.011212,0.001115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.8,167.98,161.61,-178.26,0.6751,0.66,0.6844,0.6693,0.1522,0.1201,0.0004,0.0003,0.0635,0.001301,0.014312,0.000656,0.001675,0.013788,0.001078,0.003356,0.011384,0.000875,0.000855,0.011232,0.00131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.9,164.41,163.03,-177.62,0.7012,0.6864,0.7181,0.7019,0.1465,0.1191,0.0001,0.0001,0.0594,0.001195,0.014529,0.000788,0.00158,0.013235,0.001234,0.003339,0.011105,0.000918,0.000912,0.010841,0.001377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
